parliamentarian_1,parliamentarian_2,proportion_agreement
"Ojeda, Mauricio","Sagardia, Clara",0.9868247694334651
"Moreno, Benjamín","Placencia, Alejandra",0.9868247694334651
"Bello, María Francisca","Naveillan, Gloria",0.9868247694334651
"Schubert, Stephan","Ñanco, Ericka",0.9868247694334651
"Ramírez, Matías","Weisse, Flor",0.9868247694334651
"Cariola, Karol","Lilayu, Daniel",0.9868247694334651
"Alessandri, Jorge","Serrano, Daniela",0.9881422924901185
"Ojeda, Mauricio","Winter, Gonzalo",0.9881422924901185
"Araya, Cristián","Gazmuri, Ana María",0.9881422924901185
"Bravo, Ana María","Romero, Leonidas",0.9881422924901185
"Mix, Claudia","Sánchez, Luis",0.9881422924901185
"Fries, Lorena","Sánchez, Luis",0.9881422924901185
"Barrera, Boris","Lilayu, Daniel",0.9881422924901185
"Lilayu, Daniel","Veloso, Consuelo",0.9881422924901185
"Hertz, Carmen","Raphael, Marcia",0.9881422924901185
"Bravo, Marta","Pizarro, Lorena",0.9881422924901185
"Moreno, Benjamín","Riquelme, Marcela",0.9881422924901185
"De la Carrera, Gonzalo","Pizarro, Lorena",0.9881422924901185
"Hertz, Carmen","Von Mühlenbrock, Gastón",0.9881422924901185
"Cariola, Karol","Ramírez, Guillermo",0.9894598155467721
"Cornejo, Eduardo","Morales, Javiera",0.9894598155467721
"Mellado, Miguel","Winter, Gonzalo",0.9894598155467721
"Donoso, Felipe","Ibáñez, Diego",0.9894598155467721
"Donoso, Felipe","Winter, Gonzalo",0.9894598155467721
"Meza, José Carlos","Sagardia, Clara",0.9894598155467721
"Castillo, Nathalie","Cid, Sofía",0.9894598155467721
"Morales, Javiera","Sulantay, Marco Antonio",0.9894598155467721
"Hertz, Carmen","Teao, Hotuiti",0.9894598155467721
